	0	1	2	3	4
4	/home/aavalos/ecoli_MAGs/pat21_MAG/spades_output9207/9207cleaned.fasta	/home/aavalos/ecoli_MAGs/pat3_MAG/spades_output8418/8418cleaned.fasta	99.7523	1	1581
5	/home/aavalos/ecoli_MAGs/pat21_MAG/spades_output9207/9207cleaned.fasta	/home/aavalos/ecoli_MAGs/pat4_MAG/spades_output8433/8433cleaned.fasta	99.036	1478	1581
6	/home/aavalos/ecoli_MAGs/pat21_MAG/spades_output9207/9207cleaned.fasta	/home/aavalos/ecoli_MAGs/pat4_MAG/spades_output8432/8432cleaned.fasta	99.025	1486	1581
7	/home/aavalos/ecoli_MAGs/pat21_MAG/spades_output9207/9207cleaned.fasta	/home/aavalos/ecoli_MAGs/pat4_MAG/spades_output8434/8434cleaned.fasta	99.0147	1483	1581
8	/home/aavalos/ecoli_MAGs/pat21_MAG/spades_output9207/9207cleaned.fasta	/home/aavalos/ecoli_MAGs/pat4_MAG/spades_output8441/8441cleaned.fasta	99.0134	1479	1581
9	/home/aavalos/ecoli_MAGs/pat21_MAG/spades_output9207/9207cleaned.fasta	/home/aavalos/ecoli_MAGs/pat11_MAG/spades_output8627/8627cleaned.fasta	98.9975	1469	1581
10	/home/aavalos/ecoli_MAGs/pat21_MAG/spades_output9207/9207cleaned.fasta	/home/aavalos/ecoli_MAGs/pat3_MAG/spades_output8417/8417cleaned.fasta	98.9916	1369	1581
11	/home/aavalos/ecoli_MAGs/pat21_MAG/spades_output9207/9207cleaned.fasta	/home/aavalos/ecoli_MAGs/pat3_MAG/spades_output8419/8419cleaned.fasta	98.9885	1371	1581
12	/home/aavalos/ecoli_MAGs/pat21_MAG/spades_output9207/9207cleaned.fasta	/home/aavalos/ecoli_MAGs/pat7_MAG/spades_output8520/8520cleaned.fasta	98.9851	1470	1581
13	/home/aavalos/ecoli_MAGs/pat21_MAG/spades_output9207/9207cleaned.fasta	/home/aavalos/ecoli_MAGs/pat3_MAG/spades_output8422/8422cleaned.fasta	98.9836	1379	1581
14	/home/aavalos/ecoli_MAGs/pat21_MAG/spades_output9207/9207cleaned.fasta	/home/aavalos/ecoli_MAGs/pat11_MAG/spades_output8622/8622cleaned.fasta	98.9783	1477	1581
15	/home/aavalos/ecoli_MAGs/pat21_MAG/spades_output9207/9207cleaned.fasta	/home/aavalos/ecoli_MAGs/pat3_MAG/spades_output8425/8425cleaned.fasta	98.9766	1335	1581
16	/home/aavalos/ecoli_MAGs/pat21_MAG/spades_output9207/9207cleaned.fasta	/home/aavalos/ecoli_MAGs/pat7_MAG/spades_output8525/8525cleaned.fasta	98.9728	1479	1581
17	/home/aavalos/ecoli_MAGs/pat21_MAG/spades_output9207/9207cleaned.fasta	/home/aavalos/ecoli_MAGs/pat11_MAG/spades_output8623/8623cleaned.fasta	98.9717	1470	1581
18	/home/aavalos/ecoli_MAGs/pat21_MAG/spades_output9207/9207cleaned.fasta	/home/aavalos/ecoli_MAGs/pat11_MAG/spades_output8633/8633cleaned.fasta	98.97	1471	1581
19	/home/aavalos/ecoli_MAGs/pat21_MAG/spades_output9207/9207cleaned.fasta	/home/aavalos/ecoli_MAGs/pat11_MAG/spades_output8625/8625cleaned.fasta	98.9692	1471	1581
20	/home/aavalos/ecoli_MAGs/pat21_MAG/spades_output9207/9207cleaned.fasta	/home/aavalos/ecoli_MAGs/pat11_MAG/spades_output8628/8628cleaned.fasta	98.9661	1475	1581
21	/home/aavalos/ecoli_MAGs/pat21_MAG/spades_output9207/9207cleaned.fasta	/home/aavalos/ecoli_MAGs/pat22_MAG/spades_output9241/9241cleaned.fasta	98.9656	1472	1581
22	/home/aavalos/ecoli_MAGs/pat21_MAG/spades_output9207/9207cleaned.fasta	/home/aavalos/ecoli_MAGs/pat7_MAG/spades_output8518/8518cleaned.fasta	98.9618	1474	1581
23	/home/aavalos/ecoli_MAGs/pat21_MAG/spades_output9207/9207cleaned.fasta	/home/aavalos/ecoli_MAGs/pat11_MAG/spades_output8626/8626cleaned.fasta	98.9614	1477	1581
24	/home/aavalos/ecoli_MAGs/pat21_MAG/spades_output9207/9207cleaned.fasta	/home/aavalos/ecoli_MAGs/pat22_MAG/spades_output9240/9240cleaned.fasta	98.9569	1472	1581
25	/home/aavalos/ecoli_MAGs/pat21_MAG/spades_output9207/9207cleaned.fasta	/home/aavalos/ecoli_MAGs/pat11_MAG/spades_output8629/8629cleaned.fasta	98.9535	1479	1581
26	/home/aavalos/ecoli_MAGs/pat21_MAG/spades_output9207/9207cleaned.fasta	/home/aavalos/ecoli_MAGs/pat22_MAG/spades_output9231/9231cleaned.fasta	98.9503	1476	1581
27	/home/aavalos/ecoli_MAGs/pat21_MAG/spades_output9207/9207cleaned.fasta	/home/aavalos/ecoli_MAGs/pat22_MAG/spades_output9232/9232cleaned.fasta	98.9455	1480	1581
